input_text,target_text
We want answers.,Cevaplar istiyoruz.
We want freedom.,Biz özgürlük istiyoruz.
We want it back.,Onu geri istiyoruz.
We want justice.,Adalet istiyoruz.
We want respect.,Biz saygı istiyoruz.
We want results.,Biz sonuçlar istiyoruz.
We want revenge.,Biz intikam almak istiyoruz.
We want to come.,Biz gelmek istiyoruz.
We want to help.,Biz yardım etmek istiyoruz.
We want to know.,Biz bilmek istiyoruz.
We want to live.,Biz yaşamak istiyoruz.
We want to talk.,Biz konuşmak istiyoruz.
We want to vote.,Biz oy vermek istiyoruz.
We want to work.,Biz çalışmak istiyoruz.
We went dancing.,Biz dansa gittik.
We went on foot.,Biz yaya gittik.
We went on foot.,Biz yürüyerek gittik.
We went sailing.,Yelkenliyle gezmeye gittik.
We went to Gifu.,Biz Gifu'ya gittik.
We went too far.,Çok uzağa gittik.
We were enemies.,Biz düşmandık.
We were engaged.,Biz nişanlıydık.
We were excited.,Biz heyecanlıydık.
We were farmers.,Biz çiftçiydik.
We were friends.,Biz dosttuk.
We were injured.,Biz yaralandık.
We were invited.,Davet edildik.
We were kissing.,Öpüşüyorduk.
We were outside.,Biz dışardaydık.
We were sailing.,Yelkenliyle gidiyorduk.
We were shocked.,Biz şok olduk.
We were talking.,Konuşuyorduk.
We were trapped.,Biz hapsedildik.
We were waiting.,Bekliyorduk.
We were winning.,Kazanıyorduk.
We were worried.,Endişeliydik.
We weren't busy.,Meşguldük.
We weren't cold.,Biz üşümüyorduk.
We will prevail.,Biz galip geleceğiz.
We will succeed.,Başaracağız.
We will survive.,Biz hayatta kalacağız.
We won the game.,Biz oyunu kazandık.
We won't forget.,Unutmayacağız.
We work for Tom.,Tom için çalışırız.
We'd better win.,Kazansak iyi olur.
We'll be heroes.,Kahramanlar olacağız.
We'll be hungry.,Biz acıkmış olacağız.
We'll be killed.,Öldürüleceğiz.
We'll bring Tom.,Tom'u getireceğiz.
We'll call back.,Tekrar arayacağız.
We'll camp here.,Burada kamp kuracağız.
We'll catch Tom.,Tom'u yakalayacağız.
We'll catch you.,Size yetişeceğiz.
We'll chance it.,Onu deneyeceğiz.
We'll change it.,Biz bunu değiştireceğiz.
We'll come back.,Geri geleceğiz.
We'll cooperate.,İşbirliği yapacağız.
We'll do better.,Daha iyi yapacağız.
We'll find them.,Onları bulacağız.
We'll get there.,Orayı satın alacağız.
We'll handle it.,Onun üstesinden geleceğiz.
We'll just wait.,Sadece bekleyeceğiz.
We'll know soon.,Yakında bileceğiz.
We'll leave now.,Şimdi gideceğiz.
We'll manage it.,Onu yöneteceğiz.
We'll need help.,"Bizim, yardıma ihtiyacımız olacak."
We'll need some.,Biraz ihtiyacımız olacak.
We'll need that.,Ona ihtiyacımız olacak.
We'll see to it.,Onunla ilgileneceğiz.
We'll show them.,Onlara göstereceğiz.
We'll stay here.,Burada kalacağız.
We'll stop them.,Onları durduracağız.
We'll take this.,Bunu alacağız.
We'll talk here.,Burada konuşacağız.
We'll talk soon.,Yakında konuşacağız.
We'll tell them.,Onlara söyleyeceğiz.
We'll try again.,Tekrar deneyeceğiz.
We'll visit you.,Sizi ziyaret edeceğiz.
We'll visit you.,Seni ziyaret edeceğiz.
We'll wait here.,Burada bekleyeceğiz.
